"ASIN","GROUP","FORMAT"
"0307463745","book","hardcover"
"0061914177","book","hardcover"
"1606840606","book","hardcover"
"0979974623","book","hardcover"
"0375829652","book","hardcover"
"0375840648","book","hardcover"
"0061583251","book","hardcover"
"0226532623","book","hardcover"
"0061766089","book","hardcover"
"0345507894","book","hardcover"
"0399155341","book","hardcover"
"1578516730","book","hardcover"
"0545123267","book","hardcover"
"1416989412","book","hardcover"
"1597975036","book","hardcover"
"0439023483","book","hardcover"
"006172680X","book","hardcover"
"1601251505","book","hardcover"
"1423121929","book","hardcover"
"0375856994","book","hardcover"
"1844256383","book","hardcover"
"1586487442","book","hardcover"
"0787960756","book","hardcover"
"1934255122","book","hardcover"
"1934255165","book","hardcover"
"0955912105","book","hardcover"
"1597974412","book","hardcover"
"0545075661","book","hardcover"
"0316017922","book","hardcover"
"0307465357","book","hardcover"
"0374329559","book","hardcover"
"0470556811","book","hardcover"
"1606927051","book","hardcover"
"0970601980","book","hardcover"
"1582463166","book","hardcover"
"0395715318","book","hardcover"
"0805063692","book","hardcover"
"0395903734","book","hardcover"
"0395710219","book","hardcover"
"0756908124","book","hardcover"
"0375864326","book","hardcover"
"0979923840","book","hardcover"
"0521119030","book","hardcover"
"0310318963","book","hardcover"
"0399144463","book","hardcover"
"095591213X","book","hardcover"
"0230607543","book","hardcover"
"0307590615","book","hardcover"
"0470419717","book","hardcover"
"0340830476","book","hardcover"
"1936319004","book","hardcover"
"0316160172","book","hardcover"
"0805083472","book","hardcover"
"0230608116","book","hardcover"
"1606840835","book","hardcover"
"0805079955","book","hardcover"
"0727868403","book","hardcover"
"006176275X","book","hardcover"
"0470677937","book","hardcover"
"0061349208","book","hardcover"
"0803499264","book","hardcover"
"1591140013","book","hardcover"
"0470605758","book","hardcover"
"0470442409","book","hardcover"
"0307269752","book","hardcover"
"1841698687","book","hardcover"
"141691420X","book","hardcover"
"1422166732","book","hardcover"
"1401323251","book","hardcover"
"1416991417","book","hardcover"
"1416961100","book","hardcover"
"1561634638","book","hardcover"
"1570036608","book","hardcover"
"1891885669","book","hardcover"
"1934840173","book","hardcover"
"1599904985","book","hardcover"
"184576692X","book","hardcover"
"0747590923","book","hardcover"
"0470102101","book","hardcover"
"904819430X","book","hardcover"
"0747581088","book","hardcover"
"0545010225","book","hardcover"
"0307453243","book","hardcover"
"060960502X","book","hardcover"
"0061673048","book","hardcover"
"1442409053","book","hardcover"
"1565126068","book","hardcover"
"0765326353","book","hardcover"
"3551551677","book","hardcover"
"1566635624","book","hardcover"
"0312532881","book","hardcover"
"0393061310","book","hardcover"
"1434344924","book","hardcover"
"0312385471","book","hardcover"
"0199756074","book","hardcover"
"0312598947","book","hardcover"
"0803498152","book","hardcover"
"0307592812","book","hardcover"
"1400069556","book","hardcover"
"030733998X","book","hardcover"
"0195064577","book","hardcover"
"0312330545","book","hardcover"
"1934255777","book","hardcover"
"0071468293","book","hardcover"
"030746363X","book","hardcover"
"0060594667","book","hardcover"
"0752227114","book","hardcover"
"0066620996","book","hardcover"
"060961021X","book","hardcover"
"0201633612","book","hardcover"
"0393052303","book","hardcover"
"0199744505","book","hardcover"
"159562015X","book","hardcover"
"1597974382","book","hardcover"
"0977795373","book","hardcover"
"0226595668","book","hardcover"
"1594742286","book","hardcover"
"1606993682","book","hardcover"
"1590588606","book","hardcover"
"0691142645","book","hardcover"
"0786948671","book","hardcover"
"0262014769","book","hardcover"
"0307717372","book","hardcover"
"0313363269","book","hardcover"
"0385526563","book","hardcover"
"0062024027","book","hardcover"
"1594202664","book","hardcover"
"039392467X","book","hardcover"
"1615990275","book","hardcover"
"1592401287","book","hardcover"
"0230748910","book","hardcover"
"0756404738","book","hardcover"
"1400064163","book","hardcover"
"0761454527","book","hardcover"
"0634032526","book","hardcover"
"1423413008","book","hardcover"
"1847726860","book","hardcover"
"1578643872","book","hardcover"
"0312262221","book","hardcover"
"0375831002","book","hardcover"
"1599900114","book","hardcover"
"1597975257","book","hardcover"
"0810993139","book","hardcover"
"0803477163","book","hardcover"
"0230110762","book","hardcover"
"0385477775","book","hardcover"
"3407792913","book","hardcover"
"1935554247","book","hardcover"
"0230103685","book","hardcover"
"0553808079","book","hardcover"
"1439167346","book","hardcover"
"0547595549","book","hardcover"
"0307355772","book","hardcover"
"0864926308","book","hardcover"
"0199237506","book","hardcover"
"1402777116","book","hardcover"
"3642153429","book","hardcover"
"0374318409","book","hardcover"
"0864925212","book","hardcover"
"1907621016","book","hardcover"
"0955833612","book","hardcover"
"0955339863","book","hardcover"
"0955833639","book","hardcover"
"0955339812","book","hardcover"
"0955833620","book","hardcover"
"0955833671","book","hardcover"
"0955339820","book","hardcover"
"1907621024","book","hardcover"
"0955833604","book","hardcover"
"1934255807","book","hardcover"
"1934255815","book","hardcover"
"1934255831","book","hardcover"
"1934255793","book","hardcover"
"047037361X","book","hardcover"
"0071736387","book","hardcover"
"1934255785","book","hardcover"
"0470947802","book","hardcover"
"0262015366","book","hardcover"
