Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",0,3.92,Anchor Books,Paperback,351,2003,2001,,2022/05/08,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.64,Tor Books,Hardcover,1007,2010,2010,,2022/05/07,to-read,to-read (#171),to-read,,,,0,,,0,,,,,
12544648,Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""1466208686""","=""9781466208681""",0,4.35,Createspace,Paperback,500,2011,2008,,2022/05/05,to-read,to-read (#170),to-read,,,,0,,,0,,,,,
10576365,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,"Bracken, Alexandra",,"=""1423157370""","=""9781423157373""",0,4.16,Disney Hyperion,Hardcover,488,2012,2012,,2022/05/05,to-read,to-read (#169),to-read,,,,0,,,0,,,,,
33590260,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"Maas, Sarah J.",Mario Pulver,"=""1619636107""","=""9781619636101""",5,4.60,Bloomsbury YA,Hardcover,984,2018,2018,,2022/03/04,,,read,,,,1,,,0,,,,,
32571395,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""""","=""""",4,4.02,Delacorte Press,Kindle Edition,360,2017,2017,2022/05/01,2020/05/13,really-want-to-read,really-want-to-read (#7),read,,,,1,,,0,,,,,
31450852,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,"Maas, Sarah J.",,"=""1681195771""","=""9781681195773""",5,4.28,Bloomsbury USA Childrens,Hardcover,660,2017,2017,2022/05/01,2022/03/04,,,read,,,,1,,,0,,,,,
40969531,A Winter's Promise (The Mirror Visitor #1),Christelle Dabos,"Dabos, Christelle",Hildegarde Serle,"=""""","=""""",0,4.10,Europa Editions,Kindle Edition,492,2018,2013,,2022/05/01,to-read,to-read (#168),to-read,,,,0,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,531,2014,2014,,2022/04/18,to-read,to-read (#167),to-read,,,,0,,,0,,,,,
56978089,"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin,"Lin, Judy I.",,"=""1250767083""","=""9781250767080""",0,4.01,Feiwel and Friends,Hardcover,384,2022,2022,,2022/04/01,to-read,to-read (#166),to-read,,,,0,,,0,,,,,
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.27,Harper,Hardcover,272,2018,2018,,2022/03/30,to-read,to-read (#165),to-read,,,,0,,,0,,,,,
58132544,"A River Enchanted (Elements of Cadence, #1)",Rebecca   Ross,"Ross, Rebecca",,"=""0063055988""","=""9780063055988""",0,4.16,Harper Voyager,Hardcover,480,2022,2022,,2022/03/28,to-read,to-read (#164),to-read,,,,0,,,0,,,,,
53914938,The Rose Code,Kate Quinn,"Quinn, Kate",,"=""0062943472""","=""9780062943477""",0,4.47,William Morrow,Paperback,624,2021,2021,,2022/03/28,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""0765387565""","=""9780765387561""",0,4.23,Tor Books,Hardcover,444,2020,2020,,2022/03/28,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
55780553,Daughters of a Dead Empire,Carolyn Tara O'Neil,"O'Neil, Carolyn Tara",,"=""1250755530""","=""9781250755537""",0,3.84,Roaring Brook Press,Hardcover,336,2022,2022,,2022/03/28,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
58787295,The Librarian Spy: A Novel of World War II,Madeline  Martin,"Martin, Madeline",,"=""1335426914""","=""9781335426918""",0,4.80,Hanover Square Press,Paperback,400,2022,2022,,2022/03/27,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",0,4.04,Flatiron Books,Hardcover,459,2019,2019,,2022/03/27,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
